id,x,y,cluster_id,text
1.0799E+18,-23.72052956,-45.86697769,5,"MEXICO IS PAYING FOR THE WALL through the many billions of dollars a year that the U.S.A. is saving through the new Trade Deal, the USMCA, that will replace the horrendous NAFTA Trade Deal, which has so badly hurt our Country. Mexico &amp, Canada will also thrive - good for all!"
1.0799E+18,-9.156772614,-42.8555069,8,"The Democrats will probably submit a Bill, being cute as always, which gives everything away but gives NOTHING to Border Security, namely the Wall. You see, without the Wall there can be no Border Security - the Tech “stuff” is just, by comparison, meaningless bells &amp, whistles..."
1.07991E+18,-44.79501343,-3.364619255,8,...Remember this. Throughout the ages some things NEVER get better and NEVER change. You have Walls and you have Wheels. It was ALWAYS that way and it will ALWAYS be that way! Please explain to the Democrats that there can NEVER be a replacement for a good old fashioned WALL!
1.08008E+18,-2.13595891,44.93628311,4,"Dr. Sebastian Gorka, a very good and talented guy, has a great new book just out, “Why We Fight.” Lots of insight - Enjoy!"
1.08009E+18,-22.36548996,-28.24985886,5,"HAPPY NEW YEAR TO EVERYONE, INCLUDING THE HATERS AND THE FAKE NEWS MEDIA! 2019 WILL BE A FANTASTIC YEAR FOR THOSE NOT SUFFERING FROM TRUMP DERANGEMENT SYNDROME. JUST CALM DOWN AND ENJOY THE RIDE, GREAT THINGS ARE HAPPENING FOR OUR COUNTRY!"
1.08011E+18,-9.700496674,29.4705658,4,Happy New Year!
1.08011E+18,-9.299600601,-43.63488388,8,"The Democrats, much as I suspected, have allocated no money for a new Wall. So imaginative! The problem is, without a Wall there can be no real Border Security - and our Country must finally have a Strong and Secure Southern Border!"
1.08012E+18,2.989293337,7.774206161,0,"“General” McChrystal got fired like a dog by Obama. Last assignment a total bust. Known for big, dumb mouth. Hillary lover! https://t.co/RzOkeHl3KV"
1.08013E+18,-23.34321785,-21.30696106,8,One thing has now been proven. The Democrats do not care about Open Borders and all of the crime and drugs that Open Borders bring!
1.08016E+18,12.92417717,6.18373251,2,Congratulations to President @JairBolsonaro who just made a great inauguration speech - the U.S.A. is with you!
1.08018E+18,-11.32190037,-39.23147964,2,Border Security and the Wall “thing” and Shutdown is not where Nancy Pelosi wanted to start her tenure as Speaker! Let’s make a deal?
1.08023E+18,-38.9203186,-17.87085724,8,Gas prices are low and expected to go down this year. This would be good!
1.08024E+18,40.71850967,18.6997261,0,Washington Examiner - “MAGA list: 205 ‘historic results’ help Trump make case for 2020 re-election.”  True!
1.08024E+18,-8.070713043,22.24662209,2,"“Kim Jong Un says North Korea will not make or test nuclear weapons, or give them to others - &amp, he is ready to meet President Trump anytime.” PBS News Hour. I also look forward to meeting with Chairman Kim who realizes so well that North Korea possesses great economic potential!"
1.08025E+18,-40.3070488,-27.21987724,8,"Do you think it’s just luck that gas prices are so low, and falling? Low gas prices are like another Tax Cut!"
1.08026E+18,-27.19560432,-25.28721237,8,"For FAR TOO LONG Senate Democrats have been Obstructing more than 350 Nominations. These great Americans left their jobs to serve our Country, but can’t because Dems are blocking them, some for two years-historic record. Passed committees, but Schumer putting them on hold. Bad!"
1.08045E+18,-41.32484055,6.336037159,8,"Here we go with Mitt Romney, but so fast! Question will be, is he a Flake?  I hope not. Would much prefer that Mitt focus on Border Security and so many other things where he can be helpful. I won big, and he didn’t. He should be happy for all Republicans. Be a TEAM player &amp, WIN!"
1.08046E+18,-6.733713627,-50.68399811,5,Mexico is paying for the Wall through the new USMCA Trade Deal. Much of the Wall has already been fully renovated or built. We have done a lot of work. $5.6 Billion Dollars that House has approved is very little in comparison to the benefits of National Security. Quick payback!
1.08062E+18,16.52765656,-33.20956039,5,Important meeting today on Border Security with Republican and Democrat Leaders in Congress. Both parties must work together to pass a Funding Bill that protects this Nation and its people – this is the first and most important duty of government...
1.08062E+18,-20.27975273,-37.20052338,8,"...I remain ready and willing to work with Democrats to pass a bill that secures our borders, supports the agents and officers on the ground, and keeps America Safe. Let’s get it done!"
1.08068E+18,-9.284529686,-43.30251694,8,"Sadly, there can be no REAL Border Security without the Wall!"
1.08084E+18,40.77466583,18.7534523,0,“MAGA list: 205 ‘historic results’ help Trump make case for 2020 re-election” https://t.co/vtqnUwdhjB
1.08084E+18,7.031099796,-20.91996956,5,"The Shutdown is only because of the 2020 Presidential Election. The Democrats know they can’t win based on all of the achievements of “Trump,” so they are going all out on the desperately needed Wall and Border Security - and Presidential Harassment. For them, strictly politics!"
1.08084E+18,-27.22238159,-45.20541382,8,The United States Treasury has taken in MANY billions of dollars from the Tariffs we are charging China and other countries that have not treated us fairly. In the meantime we are doing well in various Trade Negotiations currently going on. At some point this had to be done!
1.08086E+18,72.23171997,-5.252275467,1,https://t.co/JzfXMAPwKP
1.08088E+18,6.704119205,34.06552887,5,The RNC has a great Chairwoman in Ronna McDaniel and the @GOP has never been stronger. We achieved historic wins with her help last year! #MAGA🇺🇸
1.08092E+18,69.05513,-6.480422974,1,https://t.co/jsOrDtwdEa
1.081E+18,6.721580982,9.527774811,5,"Michael Pillsbury interviewed by @cvpayne: “They have the motive of making the President look bad – instead of President Trump being portrayed as a HERO. The first President to take China on, it’s 20 years overdue...."
1.081E+18,-21.26994705,-16.46714401,8,"....President Trump deserves a lot of credit, but again, you have the anti-Trump people who are not going to give him a lot of credit.”"
1.08118E+18,-37.22335434,-5.469658852,8,"As I have stated many times, if the Democrats take over the House or Senate, there will be disruption to the Financial Markets. We won the Senate, they won the House. Things will settle down. They only want to impeach me because they know they can’t win in 2020, too much success!"
1.08118E+18,2.650884867,-30.78423691,2,"How do you impeach a president who has won perhaps the greatest election of all time, done nothing wrong (no Collusion with Russia, it was the Dems that Colluded), had the most successful first two years of any president, and is the most popular Republican in party history 93%?"
1.0812E+18,-46.04804611,29.29850769,4,GREAT JOBS NUMBERS JUST ANNOUNCED!
1.08129E+18,45.75930405,-21.9967804,0,"“Job growth surges by 312,000 in December” https://t.co/FCSwxFZjUF"
1.08131E+18,11.20439625,3.503607512,2,"The story in the New York Times regarding Jim Webb being considered as the next Secretary of Defense is FAKE NEWS. I’m sure he is a fine man, but I don’t know Jim, and never met him. Patrick Shanahan, who is Acting Secretary of Defense, is doing a great job!"
1.08136E+18,-9.379243851,32.95316696,4,"Great new book by Dr. Robert Jeffress, “Choosing the Extraordinary Life.” Get it and enjoy!  @LouDobbs"
1.08153E+18,9.66767025,35.79143906,2,Thank you to Kanye West for your nice words. Criminal Justice Reform is now law - passed in a very bipartisan way!
1.08153E+18,-8.235439301,-52.46653748,5,"Great support coming from all sides for Border Security (including Wall) on our very dangerous Southern Border. Teams negotiating this weekend! Washington Post and NBC reporting of events, including Fake sources, has been very inaccurate (to put it mildly)!"
1.08154E+18,-38.97028732,-16.00243187,8,"The Democrats could solve the Shutdown problem in a very short period of time. All they have to do is approve REAL Border Security (including a Wall), something which everyone, other than drug dealers, human traffickers and criminals, want very badly! This would be so easy to do!"
1.08155E+18,-7.134096622,-34.38710403,2,"Many people currently a part of my opposition, including President Obama &amp, the Dems, have had campaign violations, in some cases for very large sums of money. These are civil cases. They paid a fine &amp, settled. While no big deal, I did not commit a campaign violation!"
1.08156E+18,-25.40486717,-24.17772865,8,"I don’t care that most of the workers not getting paid are Democrats, I want to stop the Shutdown as soon as we are in agreement on Strong Border Security! I am in the White House ready to go, where are the Dems?"
1.08157E+18,-14.11520767,-49.15517807,5,"We are working hard at the Border, but we need a WALL!  In 2018, 1.7 million pounds of narcotics seized, 17,000 adults arrested with criminal records, and 6000 gang members, including MS-13, apprehended. A big Human Trafficking problem."
1.08158E+18,-28.33841515,-41.84557724,8,"The Democrats want Billions of Dollars for Foreign Aid, but they don’t want to spend a small fraction of that number on properly securing our Border. Figure that one out!"
1.08158E+18,4.941969395,43.95613098,5,"Great Tweet today by Tyler Q. Houlton @SpoxDHS on the #FakeNews being put out by @CNN, a proud member of the Opposition Party. @TSA is doing a great job!"
1.0816E+18,30.23890877,-8.493520737,2,"“Former @NYTimes editor Jill Abramson rips paper's ‘unmistakably anti-Trump’ bias.”Ms. Abramson is 100% correct. Horrible and totally dishonest reporting on almost everything they write. Hence the term Fake News, Enemy of the People, and Opposition Party!"
1.08165E+18,-33.35393906,-38.41802979,8,"Drug makers and companies are not living up to their commitments on pricing. Not being fair to the consumer, or to our Country!"
1.08166E+18,25.02882195,17.25187874,5,"V.P. Mike Pence and team just left the White House. Briefed me on their meeting with the Schumer/Pelosi representatives. Not much headway made today. Second meeting set for tomorrow. After so many decades, must finally and permanently fix the problems on the Southern Border!"
1.08172E+18,6.934945107,-46.72526932,5,"“Jobs up big, plus 312,000. Record number working. Manufacturing best in 20 years (Previous administration said this could not happen). Hispanic unemployment lowest ever. Dow plus 747 (for day).” @DRUDGE_REPORT"
